Month_End_Date,Sum of Total_Bookings
2015-07-31 00:00:00,88
2015-08-31 00:00:00,34
2015-09-30 00:00:00,31
2015-10-31 00:00:00,37
2015-11-30 00:00:00,27
2015-12-31 00:00:00,20
2016-01-31 00:00:00,21
2016-02-29 00:00:00,32
2016-03-31 00:00:00,37
2016-04-30 00:00:00,38
2016-05-31 00:00:00,34
2016-06-30 00:00:00,33
2016-07-31 00:00:00,44
2016-08-31 00:00:00,49
2016-09-30 00:00:00,35
2016-10-31 00:00:00,24
2016-11-30 00:00:00,28
2016-12-31 00:00:00,21
2017-01-31 00:00:00,28
2017-02-28 00:00:00,20
2017-03-31 00:00:00,18
2017-04-30 00:00:00,38
2017-05-31 00:00:00,25
2017-06-30 00:00:00,31
2017-07-31 00:00:00,57
2017-08-31 00:00:00,30
