Sum of Revenue,Year,Month
752888.3300000003,2015,Jul
1119561.28,2015,Aug
1049156.9500000002,2015,Sep
782577.5800000004,2015,Oct
345585.49000000046,2015,Nov
428338.0400000001,2015,Dec
262733.3800000001,2016,Jan
482234.71000000095,2016,Feb
764743.310000002,2016,Mar
894852.7800000027,2016,Apr
1071793.6300000013,2016,May
1143103.38,2016,Jun
1510939.0500000045,2016,Jul
1801929.5700000026,2016,Aug
1283524.33,2016,Sep
1068946.0799999991,2016,Oct
686467.5599999997,2016,Nov
654347.0600000008,2016,Dec
510470.25999999995,2017,Jan
661572.7599999974,2017,Feb
883595.1699999941,2017,Mar
1201957.7400000014,2017,Apr
1321936.0099999984,2017,May
1438490.5399999998,2017,Jun
1817038.230000003,2017,Jul
1970181.6000000015,2017,Aug
